adjudication,severity,dimension,title,file,independent_votes_against,adjudication_20260911,evidence_20260911
adjudicated_upheld,critical,vfdb-logic,Protocol's stated positive-window count (1039) contradicts the exclusion rule stated two paragraphs earlier in the same section,records/emergency_rhythm_protocol_v1.md,0/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,major,incart,"ST-change patient count is 9, not 8 — and no computation behind it exists anywhere in the audit",results/external_cohort_lineage_20260910/report.md,0/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,major,vfdb-logic,"Positive windows are not noise-filtered while negative windows are — 206 of 965 ""full malignant"" windows are 100% annotated noise",scripts/audit_vfdb_episodes.py,0/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,major,vfdb-logic,Noise spans that run to end-of-record are an undocumented extrapolation beyond the quoted rule — 29.2% of all reported noise seconds,scripts/audit_vfdb_episodes.py,1/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,major,vfdb-logic,"The episode table's ""Total seconds"" and ""≥30 s"" columns drop the noise qualifier that exists in the underlying artifact",records/emergency_rhythm_protocol_v1.md,0/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,major,vfdb-logic,"Claimed test coverage overstates what the tests exercise — the merge step that implements the rule is untested, as are both NOISE edge cases",records/emergency_rhythm_protocol_v1.md,0/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
adjudicated_upheld,minor,vfdb-logic,rhythm_episodes_total counts 22 UNLABELED_START pseudo-episodes as rhythm episodes,results/vfdb_episodes_20260910/audit.json,1/3,adjudicated_upheld,cross-checked 2026-09-10; not re-examined here
not_adjudicated,critical,overreach,"Emergency protocol reports 1039 positive windows, but its own exclusion rule (stated one paragraph earlier) leaves 802",,0/0,upheld_fixed,emergency_rhythm_protocol_v1.md:135-137 now states 802/109 and forbids sizing the study on 1039/118.
not_adjudicated,critical,overreach,The validation split named as the threshold source contains no waveforms anywhere in the repository,,0/0,upheld_fixed,"work/stage2_original_assets/data/processed/cpsc2018_mc/val holds only labels.npy, labels_bin.npy and record_ids.npy (933 each); there is no signals.npy. Protocol §7 now discloses this and requires a byte-exact positive control before the reconstruction is trusted."
not_adjudicated,critical,protocol-integrity,"The only falsifiable pre-specified test has no decision statistic, and the reported metrics have no pinned feature-mask realization",,0/0,upheld_partial,"First half fixed: §9.1 now fixes mean >= 0.50 and min >= 0.50 over seeds 30000-30009. Second half still open: §2 states both 'seed 42 reset per configuration' and 'feature-mask seeds 30000-30009', and §8 never says which realization the reported AUROC/sensitivity/specificity/F1/Macro-F1 come from. Only analysis 1 is seed-pinned; analysis 2's Macro-F1 ranking is not."
not_adjudicated,critical,protocol-integrity,Section 10's hash abort rule is unexecutable: two of its three hashes are recorded nowhere in the document,,0/0,upheld_fixed,"All four §10 SHA-256 values recomputed and byte-identical: a07 checkpoint 287148bf... (outputs/lora_multitask_snr_a07/lora_multitask_snr_best.pt, 364840844 bytes), candidate_table 83241b75..., ptbxl_f3_eligible_records b23fbe66..., ptbxl_f3_label_flags 3f33afd4... The rule is executable."
not_adjudicated,major,consistency,INCART ADC gain range in report.md contradicts the primary headers and the audit's own JSON,,0/0,upheld_fixed,"report.md §6 now states the measured 240..1063 and labels the README's 250..1100 as the source's own rounding; incart_annotation_audit.json adc_gain_range = [240, 1063]."
not_adjudicated,major,consistency,"INCART ST-change patient count is 9, not 8",,0/0,upheld_fixed,"incart_annotation_audit.json st_change_patient_count = 9, st_change_patients = [2,3,6,7,11,18,22,26,27], and both routes select the identical 10 records. report.md §6 states 9."
