adjudication,severity,dimension,title,file,independent_votes_against
adjudicated_upheld,critical,vfdb-logic,Protocol's stated positive-window count (1039) contradicts the exclusion rule stated two paragraphs earlier in the same section,records/emergency_rhythm_protocol_v1.md,0/3
adjudicated_upheld,major,incart,"ST-change patient count is 9, not 8 — and no computation behind it exists anywhere in the audit",results/external_cohort_lineage_20260910/report.md,0/3
adjudicated_upheld,major,vfdb-logic,"Positive windows are not noise-filtered while negative windows are — 206 of 965 ""full malignant"" windows are 100% annotated noise",scripts/audit_vfdb_episodes.py,0/3
adjudicated_upheld,major,vfdb-logic,Noise spans that run to end-of-record are an undocumented extrapolation beyond the quoted rule — 29.2% of all reported noise seconds,scripts/audit_vfdb_episodes.py,1/3
adjudicated_upheld,major,vfdb-logic,"The episode table's ""Total seconds"" and ""≥30 s"" columns drop the noise qualifier that exists in the underlying artifact",records/emergency_rhythm_protocol_v1.md,0/3
adjudicated_upheld,major,vfdb-logic,"Claimed test coverage overstates what the tests exercise — the merge step that implements the rule is untested, as are both NOISE edge cases",records/emergency_rhythm_protocol_v1.md,0/3
adjudicated_upheld,minor,vfdb-logic,rhythm_episodes_total counts 22 UNLABELED_START pseudo-episodes as rhythm episodes,results/vfdb_episodes_20260910/audit.json,1/3
not_adjudicated,critical,overreach,"Emergency protocol reports 1039 positive windows, but its own exclusion rule (stated one paragraph earlier) leaves 802",,0/0
not_adjudicated,critical,overreach,The validation split named as the threshold source contains no waveforms anywhere in the repository,,0/0
not_adjudicated,critical,protocol-integrity,"The only falsifiable pre-specified test has no decision statistic, and the reported metrics have no pinned feature-mask realization",,0/0
not_adjudicated,critical,protocol-integrity,Section 10's hash abort rule is unexecutable: two of its three hashes are recorded nowhere in the document,,0/0
not_adjudicated,major,consistency,INCART ADC gain range in report.md contradicts the primary headers and the audit's own JSON,,0/0
not_adjudicated,major,consistency,"INCART ST-change patient count is 9, not 8",,0/0
not_adjudicated,major,consistency,Protocol's secondary-cohort definition does not reproduce 844 records — the SR exemption is applied in code but stated nowhere,,0/0
not_adjudicated,major,incart,challenge_pvc_records: 0 is a regex artifact — 60 of the 74 Challenge records do carry ventricular-ectopy codes,,0/0
not_adjudicated,major,overreach,The INCART amplitude precedent is cited for the opposite of what the cited section concluded,,0/0
not_adjudicated,major,overreach,"""Identical-waveform"" independence is asserted flatly, but the relation is unmeasured for the two records that decide it",,0/0
not_adjudicated,major,overreach,Protocol asserts patient-level disjointness after the report established that PTB-XL patient_id is not a reliable identity boundary,,0/0
not_adjudicated,major,overreach,"The secondary cohort of 844 is not derivable from the rule as written; it requires silently exempting SR from ""other-rhythm""",,0/0
not_adjudicated,major,overreach,"The 5c ancestry risk is presented as pure absence of evidence, omitting the affirmative record and the magnitude",,0/0
not_adjudicated,major,overreach,"Protocol drops the report's ""runtime pretraining logs"" gap while declaring the gap list exhaustive",,0/0
not_adjudicated,major,overreach,"Lead-name statement is wrong for the cohort source the protocol declares, and a literal per-record assertion would abort the run",,0/0
not_adjudicated,major,protocol-integrity,"The frozen artifact ships a second, conflicting five-class cohort definition that doubles the ectopy N the protocol calls decisive",,0/0
not_adjudicated,major,protocol-integrity,The 'other-rhythm' exclusion set is never enumerated; the operative SR carve-out exists only as a script constant and swings the secondary cohort 12-fold,,0/0
not_adjudicated,major,protocol-integrity,Section 7's threshold source is the same split that selected the frozen checkpoint; only the domain half of that dependence is disclosed,,0/0
not_adjudicated,major,protocol-integrity,"Section 9 keeps only the lowest rung of the internal protocol's mandatory sensitivity grid, and does not disclose the narrowing",,0/0
not_adjudicated,major,protocol-integrity,"Analysis 2 compares against 'the internal ranking', but two internal rankings exist in the same frozen file and they disagree at Kendall tau 0.57",,0/0
not_adjudicated,major,protocol-integrity,"The ST-change endpoint is entirely ST depression: STE_ contributes 0 of its 93 positives, and this is not stated",,0/0
not_adjudicated,major,protocol-integrity,"No primary metric is declared, and section 7 pre-excuses the failure of the only metric the primary analysis depends on",,0/0
not_adjudicated,major,protocol-integrity,The contamination risk the protocol names as live is deterministically measurable and is neither measured nor pre-registered,,0/0
not_adjudicated,major,protocol-integrity,"The pre-fixed threshold is an order statistic from 854 negatives but is treated as an exact constant, and its uncertainty is excluded from the bootstrap",,0/0
