adjudication,severity,dimension,title,file,independent_votes_against,adjudication_20260911,evidence_20260911,finding_id_sha256,response_status,response_reason_and_action,correction_record,source_csv_sha256,resolution_commit_lookup
not_adjudicated,critical,overreach,"Emergency protocol reports 1039 positive windows, but its own exclusion rule (stated one paragraph earlier) leaves 802",,0/0,upheld_fixed,emergency_rhythm_protocol_v1.md:135-137 now states 802/109 and forbids sizing the study on 1039/118.,ef4ebccb727bb20bdb9e2e5f639c759f9308d6f53b146f97cfba95099528000e,previously_corrected,VFDB802 positives/109 ambiguous retained; no new training.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,critical,overreach,The validation split named as the threshold source contains no waveforms anywhere in the repository,,0/0,upheld_fixed,"work/stage2_original_assets/data/processed/cpsc2018_mc/val holds only labels.npy, labels_bin.npy and record_ids.npy (933 each); there is no signals.npy. Protocol §7 now discloses this and requires a byte-exact positive control before the reconstruction is trusted.",eb8279e4acfd8e5f47a17f2dd48d48351fa0e08dc584f4da654b2417058101c7,partial_execution,Test936 reconstruction is byte exact; validation933 still unbuilt.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,critical,protocol-integrity,"The only falsifiable pre-specified test has no decision statistic, and the reported metrics have no pinned feature-mask realization",,0/0,upheld_partial,"First half fixed: §9.1 now fixes mean >= 0.50 and min >= 0.50 over seeds 30000-30009. Second half still open: §2 states both 'seed 42 reset per configuration' and 'feature-mask seeds 30000-30009', and §8 never says which realization the reported AUROC/sensitivity/specificity/F1/Macro-F1 come from. Only analysis 1 is seed-pinned; analysis 2's Macro-F1 ranking is not.",c4fca3b50d432268e64d7758400fab5fe23d61ed3248a8c3b275d7e0f3910123,plan_clarified_pending_execution,Seed42 primary table/CI; ten-seed mean/min for stability.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,critical,protocol-integrity,Section 10's hash abort rule is unexecutable: two of its three hashes are recorded nowhere in the document,,0/0,upheld_fixed,"All four §10 SHA-256 values recomputed and byte-identical: a07 checkpoint 287148bf... (outputs/lora_multitask_snr_a07/lora_multitask_snr_best.pt, 364840844 bytes), candidate_table 83241b75..., ptbxl_f3_eligible_records b23fbe66..., ptbxl_f3_label_flags 3f33afd4... The rule is executable.",d25501461e539c4aec055a4b4f3e08de79147e7be9be341c4063cd8f8424892c,previously_corrected,Four original SHA pins retained and independently checked.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,consistency,INCART ADC gain range in report.md contradicts the primary headers and the audit's own JSON,,0/0,upheld_fixed,"report.md §6 now states the measured 240..1063 and labels the README's 250..1100 as the source's own rounding; incart_annotation_audit.json adc_gain_range = [240, 1063].",d744b0bc10913c34dc3081a0b9e07107361975a6d7d89d03b5071f025833a876,previously_corrected,Measured INCART gain240..1063 retained.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,consistency,"INCART ST-change patient count is 9, not 8",,0/0,upheld_fixed,"incart_annotation_audit.json st_change_patient_count = 9, st_change_patients = [2,3,6,7,11,18,22,26,27], and both routes select the identical 10 records. report.md §6 states 9.",381a5f6653deb7d9ced433356eababf070af34b0ac792cc4c33d32a224875a4d,previously_corrected,INCART ST10 records/9 patients retained and recalculated.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,consistency,Protocol's secondary-cohort definition does not reproduce 844 records — the SR exemption is applied in code but stated nowhere,,0/0,upheld_partial,"The SR exemption is now stated in protocol §4, so the 'stated nowhere' half is fixed. Still open: the other-rhythm set (AFLT, SVARR, SVTAC, PSVT, SARRH, STACH, SBRAD, PACE, BIGU, TRIGU, SR) exists only as a constant at audit_ptbxl_cross_version.py:39-40 and is enumerated nowhere in the protocol, so 844 remains underivable from the document alone.",ded73ee25f6a3b2d3c5a8df6ebd39fcfd1212277356e24c1528497ebee78aa43,documented,Enumerated excluded rhythms; SR exemption explicit; no flag-file changes.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,incart,challenge_pvc_records: 0 is a regex artifact — 60 of the 74 Challenge records do carry ventricular-ectopy codes,,0/0,upheld_open,"The 0 was a regex artifact and is fixed to challenge_ventricular_ectopy_records = 59. The corrected value still undercounts: the regex matches only PVC/VEB/VPVC, and record I32 carries VBig (ventricular bigeminy) with 57 annotated V beats and no VEB/VPVC code. Records carrying ventricular ectopy are 60 of 74, as the finding said.",0fa99c937ff7596a52f14db6e38bbf0f64c695f5c0657c354034a36eb669ab80,code_corrected,VBig included; corrected audit now60 ventricular-ectopy records.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,The INCART amplitude precedent is cited for the opposite of what the cited section concluded,,0/0,upheld_fixed,"Protocol §6 now reproduces 03_eval_results.md §11 correctly: sixfold standard deviation, scale hypothesis tested and rejected (AUROC 0.281 to 0.274), failure attributed to representation-level misclassification.",8ac0395a20afda394c832f79a200782b58c7577e9c40b3c511bc1d11f939ffd3,documented_limitation,"Historical scaling result is recorded evidence, not newly reproduced causation.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,"""Identical-waveform"" independence is asserted flatly, but the relation is unmeasured for the two records that decide it",,0/0,upheld_open,"F3's condition 4 removes exactly 13803 (partner 142, train) and 15741 (partner 11810, train). None of 13803, 15741, 142 or 11810 appears in ptbxl_waveform_identity_sample.csv. The identity relation for the only two records the filter decides is taken from the official changelog and never measured, while all 47 measured pairs are records the filter does not decide.",923691463f41346bca948a76b1d2b4cfeda6dbea9c8d4302535384066ae951d1,gate_failed,Both F3-specific pairs exact; all38 audit exposes2 other nonexact pairs. Hold retained.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
